%Energy (in MeV)  vs. Flux (in particles/m2-s-sr-MeV)
  1.16591e+001  1.24471e+000
  1.58489e+001  9.18617e-001
  2.15443e+001  6.95201e-001
  2.92864e+001  5.25794e-001
  3.98107e+001  3.97183e-001
  5.41170e+001  3.00530e-001
  7.35642e+001  2.29570e-001
  1.00000e+002  1.75662e-001
  1.35936e+002  1.35499e-001
  1.84785e+002  1.05167e-001
  2.51189e+002  8.26332e-002
  3.41455e+002  6.42302e-002
  4.64159e+002  4.99749e-002
  6.30957e+002  3.71824e-002
  8.57696e+002  2.61487e-002
  1.16591e+003  1.24847e-002
  1.58489e+003  5.33140e-003
  2.15443e+003  2.30277e-003
  2.92864e+003  9.97508e-004
  3.98107e+003  4.26234e-004
  5.41170e+003  1.87535e-004
  7.35642e+003  8.11769e-005
  1.00000e+004  1.95547e-005
  1.35936e+004  0.00000e+000
  1.84785e+004  0.00000e+000
  2.51189e+004  0.00000e+000
  3.41455e+004  0.00000e+000
  4.64159e+004  0.00000e+000
  6.30957e+004  0.00000e+000
  8.57696e+004  0.00000e+000
