%Energy (in MeV)  vs. Flux (in particles/m2-s-sr-MeV)
  1.07978e+003  0.00000e+000
  1.25893e+003  0.00000e+000
  1.46780e+003  0.00000e+000
  1.71133e+003  0.00000e+000
  1.99526e+003  0.00000e+000
  2.32631e+003  0.00000e+000
  2.71227e+003  0.00000e+000
  3.16228e+003  0.00000e+000
  3.68695e+003  0.00000e+000
  4.29866e+003  0.00000e+000
  5.01187e+003  0.00000e+000
  5.84341e+003  0.00000e+000
  6.81292e+003  0.00000e+000
  7.94328e+003  7.58442e-004
  9.26119e+003  2.56566e-003
  1.07978e+004  3.51220e-003
  1.25893e+004  3.11946e-003
  1.46780e+004  2.61363e-003
  1.71133e+004  1.93322e-003
  1.99526e+004  1.42782e-003
  2.32631e+004  9.70493e-004
  2.71227e+004  6.79162e-004
  3.16228e+004  4.72405e-004
  3.68695e+004  3.19879e-004
  4.29866e+004  2.16161e-004
  5.01187e+004  1.77659e-004
  5.84341e+004  8.35279e-005
  6.81292e+004  5.39559e-005
  7.94328e+004  3.44512e-005
  9.26119e+004  2.34846e-005
